name,latitude,longitude,rating,review_count,address,city,state,zip,phone,hours,num_connectors,total_kw,website
Revel Charging Station,40.710225,-73.9849349,3.2,45,"299 South St Pier 36, New York, NY 10002",New York,New York,10002,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,640,https://gorevel.com/charge
Tesla Supercharger,40.717121999999996,-73.991991,2.3,3,"59 Allen St, New York, NY 10002",New York,New York,10002,,Monday: 5 AM–12 AM; Tuesday: 5 AM–12 AM; Wednesday: 5 AM–12 AM; Thursday: 5 AM–12 AM; Friday: 5 AM–12 AM; Saturday: 5 AM–12 AM; Sunday: 5 AM–12 AM,1,72,https://www.tesla.com
Tesla Supercharger,40.7143051,-74.01639569999999,2.0,12,"250 Vesey St, New York, NY 10080",New York,New York,10080,+18777983752,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,72,https://www.tesla.com
Tesla Destination Charger,40.710636,-74.00619499999999,4.0,9,"25 Beekman St, New York, NY 10038",New York,New York,10038,+18889982546,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,16,https://www.blinkcharging.com
Blink Charging Station,40.717152999999996,-73.991869,1.9,9,"59 Allen St, New York, NY 10002",New York,New York,10002,+18777983752,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,28,https://www.blinkcharging.com
Tesla Supercharger,40.717622,-73.99677799999999,,0,"106 Mott St, New York, NY 10013",New York,New York,10013,,Monday: 5 AM–12 AM; Tuesday: 5 AM–12 AM; Wednesday: 5 AM–12 AM; Thursday: 5 AM–12 AM; Friday: 5 AM–12 AM; Saturday: 5 AM–12 AM; Sunday: 5 AM–12 AM,1,72,https://www.tesla.com/charging
EVoke Charging Station,40.712224,-74.009106,,0,"10 Barclay St, New York, NY 10007",New York,New York,10007,+18134925220,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,17,https://www.evokesystems.com
ViaLynk Charging Station,40.732369999999996,-73.99678,,0,"2 5th Ave, New York, NY 10011",New York,New York,10011,+15186913119,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://lynkwell.com
Blink Charging Station,40.729625399999996,-73.991329,5.0,1,"445 Lafayette St, New York, NY 10003",New York,New York,10003,+18889982546,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,16,http://www.blinkcharging.com
EVmatch Charging Station,40.7103053,-74.0058458,1.0,1,"Beekman St, New York, NY 10038",New York,New York,10038,+16508228157,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,6,https://localchargingstations.net/explore/evmatch-charging-station
